ID,ten,quoc_gia,kinh_do,vi_do,thoi_gian,nhiet_do,do_am,ap_suat,huong_gio,toc_do_gio
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:34:02 2022,14.67,49,1017,100,5.66
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:34:03 2022,30.0,47,1007,162,4.13
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:34:12 2022,7.43,94,1021,214,1.09
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:34:13 2022,28.95,65,1009,140,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:34:22 2022,12.04,88,1019,40,7.72
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:34:23 2022,31.99,62,1007,60,1.54
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:34:32 2022,32.17,66,1006,200,5.14
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:34:33 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:34:42 2022,14.67,49,1017,100,5.66
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:34:43 2022,28.95,65,1009,140,4.63
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:34:52 2022,7.43,94,1021,214,1.09
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:34:53 2022,30.0,47,1007,162,4.13
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:35:02 2022,7.43,94,1021,214,1.09
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:35:03 2022,28.95,65,1009,140,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:35:12 2022,12.04,88,1019,40,7.72
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:35:13 2022,30.0,47,1007,162,4.13
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:35:22 2022,12.04,88,1019,40,7.72
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:35:23 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:35:32 2022,14.67,49,1017,100,5.66
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:35:33 2022,30.0,47,1007,162,4.13
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:35:42 2022,32.17,66,1006,200,5.14
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:35:43 2022,31.99,62,1007,60,1.54
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:35:52 2022,32.17,66,1006,200,5.14
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:35:53 2022,30.06,66,1008,20,3.09
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:36:03 2022,30.0,47,1007,162,4.13
